hora_do_dia,meio_de_pagamento,valor,nome_cafe,periodo_do_dia,dia_da_semana,nome_mes,ordem_dia,ordem_mes,data,hora
7,Pix,30.12,Americano,Manhã,Sáb,Jan,6,1,2022-01-01,07:45:35.684000
11,Crédito,28.94,Americano,Manhã,Sáb,Jan,6,1,2022-01-01,11:14:48.432000
13,Débito,37.85,Americano com Leite,Tarde,Sáb,Jan,6,1,2022-01-01,13:20:42.828000
13,Débito,29.28,Cortado,Tarde,Sáb,Jan,6,1,2022-01-01,13:35:31.782000
14,Débito,30.04,Americano,Tarde,Sáb,Jan,6,1,2022-01-01,14:02:38.055000
15,Alimentação,40.59,Americano com Leite,Tarde,Sáb,Jan,6,1,2022-01-01,15:24:39.788000
17,Débito,39.14,Latte,Tarde,Sáb,Jan,6,1,2022-01-01,17:40:40.166000
21,Débito,37.88,Cappuccino,Noite,Sáb,Jan,6,1,2022-01-01,21:24:18.006000
7,Pix,28.26,Americano,Manhã,Dom,Jan,7,1,2022-01-02,07:47:20.217000
9,Alimentação,37.45,Americano com Leite,Manhã,Dom,Jan,7,1,2022-01-02,09:26:38.277000
10,Crédito,38.09,Cappuccino,Manhã,Dom,Jan,7,1,2022-01-02,10:49:20.768000
18,Crédito,40.31,Americano com Leite,Noite,Dom,Jan,7,1,2022-01-02,18:32:51.110000
18,Crédito,37.98,Americano com Leite,Noite,Dom,Jan,7,1,2022-01-02,18:42:08.186000
20,Débito,37.37,Americano com Leite,Noite,Dom,Jan,7,1,2022-01-02,20:12:09.679000
6,Alimentação,30.08,Cortado,Manhã,Seg,Jan,1,1,2022-01-03,06:54:32.444000
8,Alimentação,40.16,Americano com Leite,Manhã,Seg,Jan,1,1,2022-01-03,08:33:51.072000
8,Alimentação,39.79,Latte,Manhã,Seg,Jan,1,1,2022-01-03,08:44:41.575000
12,Pix,29.24,Cortado,Tarde,Seg,Jan,1,1,2022-01-03,12:18:22.870000
14,Crédito,27.7,Americano,Tarde,Seg,Jan,1,1,2022-01-03,14:40:38.995000
15,Alimentação,37.26,Latte,Tarde,Seg,Jan,1,1,2022-01-03,15:48:31.652000
21,Crédito,36.97,Cappuccino,Noite,Seg,Jan,1,1,2022-01-03,21:48:17.585000
13,Alimentação,28.81,Cortado,Tarde,Ter,Jan,2,1,2022-01-04,13:03:19.919000
13,Débito,37.27,Americano com Leite,Tarde,Ter,Jan,2,1,2022-01-04,13:44:11.585000
15,Débito,39.7,Chocolate Quente,Tarde,Ter,Jan,2,1,2022-01-04,15:54:33.693000
16,Crédito,29.82,Americano,Tarde,Ter,Jan,2,1,2022-01-04,16:34:20.102000
16,Alimentação,37.34,Cappuccino,Tarde,Ter,Jan,2,1,2022-01-04,16:41:58.515000
16,Débito,36.9,Cappuccino,Tarde,Ter,Jan,2,1,2022-01-04,16:56:00.858000
8,Crédito,38.63,Latte,Manhã,Qua,Jan,3,1,2022-01-05,08:22:04.891000
11,Crédito,37.46,Cappuccino,Manhã,Qua,Jan,3,1,2022-01-05,11:09:05.674000
11,Crédito,27.54,Cacau,Manhã,Qua,Jan,3,1,2022-01-05,11:55:30.051000
17,Alimentação,38.1,Americano com Leite,Tarde,Qua,Jan,3,1,2022-01-05,17:45:53.219000
